word,et,lv,common
bandžo,banjo,banjo,True
fajanss,faience,faience,True
kalts,swob,chisel,False
GHz,GHz,GHz,True
diafragma,diaphragm,diaphragm,True
laipa,the corpse,footbridge,False
vilks,Vilks,wolf,False
HTML,HTML,HTML,True
pumpa,the pump,zit,False
esperanto,esperanto,Esperanto,False
gamma,gamma,gamma,True
firma,company,firm,False
paprika,paprika,paprika,True
kimono,kimono,kimono,True
madeira,madeira,Madeira,False
robot,robot,robot,True
ballistika,ballistics,ballistics,True
algebra,algebra,algebra,True
buss,bus,buss,False
tapete,TAPETE,wallpaper,False
akna,window,liver,False
hei,hey,hei,False
ekvilibristika,ropewalking,Balancing Act,False
madonna,madonna,madonna,True
dekadents,decadence,decadent,False
putra,Putra,porridge,False
kvass,kvass,kvass,True
vakants,vacancy,vacant,False
tenge,Tenge,tenge,False
LVL,LVL,GBP,False
hurma,persimmon,persimmon,True
mats,bumpkin,hair,False
vistra,VISTRA,VISTRA,True
kost,Kost,bite,False
farss,farce,farce,True
mono,mono,mono,True
reveranss,obeisance,curtsy,False
ala,area,cave,False
bulla,Bulla,bull,False
inerts,inertia,inert,False
oga,prickle,berry,False
korts,wrinkle,court,False
transs,trance,trance,True
tips,Tips,type,False
kross,doit,cross-country race,False
bass,bass,bass,True
geto,ghetto,ghetto,True
samba,pillar,samba,False
ost,purchase,scent,False
maita,maita,carrion,False
tehnika,engineering,machinery,False
summa,sum,amount,False
mis,which,miss,False
lemma,lemma,lemma,True
laka,laka,lacquer,False
keda,who,Keda,False
stereo,stereo,car,False
kanna,bear,jug,False
gaide,Guides,Gaide,False
panga,banking,gall,False
kore,scabby,gable,False
astronautika,astronautics,astronautics,True
meti,Meti,sketches,False
nekropole,necropolis,necropolis,True
heraldika,heraldry,heraldry,True
karst,Karst,hot,False
MB,MB,MB,True
seanss,seance,seance,True
krusa,Krusa,hail,False
kulise,matory,stage in,False
ekstra,extra,extra,True
jurta,yurt,Jurta,False
boss,boss,boss,True
loks,rattler,bow,False
pika,long,lump,False
preambula,preamble,preamble,True
podagra,gout,gout,True
tarantella,tarantella,tarantella,True
antiseptika,antisepsis,antisepsis,True
haki,chop,khaki,False
kB,kB,kB,True
klips,KLIPS,clip,False
fantastika,fantasticality,fantasy,False
arhitekte,architects,architect,False
perve,perve,perv,False
kompass,compass,compass,True
kompromiss,compromise,compromise,True
saart,the island,SAARTE,False
impulss,impulse,momentum,False
astma,asthma,asthma,True
harakiri,harakiri,harakiri,True
paps,paps,pa,False
aina,ever,scene,False
pakete,pakete,package,False
vats,paunch,watt,False
takse,shall,dachshund,False
logot,the logo,logged,False
peristaltika,peristalsis,peristalsis,True
sile,smooth,trough,False
metiss,Metisse,Mixed,False
kust,whence,melt,False
lats,lats,lat,False
koks,coke,a tree,False
eklektika,eclecticism,eclecticism,True
fugass,land mine,blockbuster,False
vidus,Vidus,middle,False
radža,rajah,Raja,False
kamara,rind,Kamara,False
pele,Pele,mouse,False
lops,wipe,beast,False
sala,secretly,island,False
aura,aura,aura,True
polka,polka,polka,True
dialektika,dialectic,dialectics,False
taktika,tactics,tactics,True
kase,birch,Treasury,False
GB,GB,GB,True
morss,berry juice,morss,False
gorilla,gorilla,gorilla,True
atlass,satin,atlas,False
amfora,amphora,amphora,True
sega,mixed,blanket,False
naba,navel,navel,True
balanss,balance,balance,True
vaba,free,vaba,False
dividende,dividends,dividend,False
vaka,bushel,Vaka,False
polo,polo,polo,True
svastika,The swastika,swastika,False
polise,pristine,policy,False
flegma,phlegm,phlegm,True
nulle,zeros,zero,False
kvarts,quartz,quart,False
indigo,indigo,indigo,True
pakalt,pakalt,pakalt,True
korda,time,cord,False
kas,whether,that,False
lai,broad,so that,False
folkloristika,Folklore,folkloristika,False
dogma,dogma,dogma,True
alpaka,alpaca,alpaca,True
vilt,felt,vilt,False
kilo,kilo,kilo,True
MHz,MHz,MHz,True
polis,Polis,pole,False
makro,macro,macro,True
mana,Mana,in my,False
kura,kura,in which,False
taksis,taxa,cab,False
vaga,pious,furrow,False
primadonna,prima donna,diva,False
teists,Diff,theist,False
elegants,elegance,elegant,False
laime,laime,happiness,False
skaut,scout,Skaut,False
magma,magma,magma,True
kava,plan,kava,False
mangot,mango,scrounge,False
aita,help,a sheep,False
susla,Susla,slipslop,False
akustika,acoustics,acoustics,True
raja,boundary,skate,False
pirts,pirts,bath house,False
EUR,EUR,EUR,True
sperma,sperm,sperm,True
embargo,embargo,embargo,True
kivi,stone,kiwi,False
musulmane,Moslem,Muslim,False
lits,slut,litas,False
kult,boar,beat,False
maharadža,Maharajah,Maharajah,True
osis,component,ash,False
balalaika,balalaika,balalaika,True
viga,mistake,viga,False
arnika,arnica,arnica,True
franko,free,free at,False
anakonda,anaconda,Anakonda,False
terase,steel,terrace,False
silt,label,Silt,False
regress,regress,regress,True
ports,batch,port,False
maestro,maestro,maestro,True
pangas,the bank,plaque,False
nokaut,knock-out,kill,False
geiša,geisha,geisha,True
kurt,deaf,kurt,False
no,no,from,False
kakao,cocoa,cocoa,True
optika,optics,optics,True
tops,cup,top,False
tilde,tilde,tilde,True
sauna,bath,sauna,False
kaka,Kaka,kaka,False
sajust,sajust,feel,False
jaks,Jaks,yak,False
luste,BANK,Luste,False
panama,Panama,panama,False
pants,pants,article,False
trauma,trauma,injury,False
putot,putot,fizz,False
penss,penss,penny,False
au,honor,au,False
kaps,kaps,tomb,False
ego,ego,ego,True
propaganda,propaganda,propaganda,True
rase,pregnant,race,False
laide,islets,Laide,False
riba,strip,rib,False
mulda,soil,mulda,False
komanda,komanda,a team,False
kongress,congress,congress,True
margas,margast,railing,False
miga,MIGA,lair,False
norise,Norise,process,False
osa,part,handle,False
roka,roka,hand,False
ass,ass,axis,False
dilemma,dilemma,dilemma,True
hallo,hallo,hallo,True
sekste,sextet,crest,False
baranka,baranka,bagels,False
lama,lama,llama,False
leporello,Leporello,leporello,False
pops,whiff,pope,False
manna,semolina,semolina,True
ei,not,hoy,False
virve,flicker,rope,False
maksa,liver,fee,False
kobra,cobra,cobra,True
rist,cross,rist,False
tango,tango,tango,True
diplomande,diploma gifts,Graduates,False
rullis,REEL,roll,False
sopka,knoll,Sopka,False
aste,degree,tail,False
kunde,Kunde,Kunde,True
auto,car,a car,False
abi,help,both,False
